"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006956","complement activation","31/720","67/18986",0.462686567164179,12.2007877280265,18.2341994881456,1.54083944475456e-26,7.82592353990843e-23,5.91844540411516e-23,"FCN3/IGHG1/IGHA1/IGHG3/IGHG4/C3/C4BPA/RGCC/C5/CFHR3/CFH/CFHR2/C6/CFB/CLU/CFHR1/MBL2/C8G/C1RL/C2/CD46/C4BPB/CFHR5/MASP2/A2M/CFI/C8A/C8B/SERPING1/CD59/C1S",31
"GO:0006959","humoral immune response","55/720","310/18986",0.17741935483871,4.67844982078853,12.9644343428727,5.66461792588842e-22,1.43852972227936e-18,1.08790477955615e-18,"HAMP/FCN3/SLPI/IGHG1/IGHA1/IGHG3/IGHG4/CCL25/CXCL8/CCL2/CCL20/CXCL10/GNLY/C3/RNASE4/C4BPA/RGCC/LGALS3/ANG/C5/CFHR3/CXCL2/CCL5/CFH/HPX/CFHR2/PTPRC/C6/CFB/CLU/CFHR1/MBL2/C8G/C1RL/C2/CD46/CCL4/APP/F2/C4BPB/CFHR5/HRG/MASP2/A2M/HLA-E/RARRES2/CFI/C8A/C8B/SERPING1/HLA-A/CD59/B2M/C1S/KNG1",55
"GO:0006958","complement activation, classical pathway","21/720","42/18986",0.5,13.1847222222222,15.694744783112,2.7430142619012e-19,4.64392314539874e-16,3.51202071637807e-16,"IGHG1/IGHA1/IGHG3/IGHG4/C3/C4BPA/C5/C6/CLU/MBL2/C8G/C1RL/C2/CD46/C4BPB/MASP2/CFI/C8A/C8B/SERPING1/C1S",21
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","23/720","56/18986",0.410714285714286,10.8303075396825,14.6263389560122,1.42275145429533e-18,1.8065386590915e-15,1.36621580440097e-15,"IGHG1/IGHA1/IGHG3/IGHG4/C3/C4BPA/C5/HPX/PTPRC/C6/CLU/MBL2/C8G/C1RL/C2/CD46/C4BPB/MASP2/CFI/C8A/C8B/SERPING1/C1S",23
"GO:0043086","negative regulation of catalytic activity","64/720","486/18986",0.131687242798354,3.47251943301326,10.9628079582313,2.37003531305395e-18,2.4074818710002e-15,1.82068607522818e-15,"SPINK1/SLPI/GPC3/SERPINA7/CDKN1A/SERPINA11/SERPINE1/SERPINB9/SERPINA3/FABP1/ZFP36/SERPINA5/NFKB1/RGS2/PLAUR/MIDN/PTPRC/GSTP1/APOC3/IFIT1/IFI16/IFI6/CST7/ADGRV1/SERPINA4/TIMP1/SERPINF2/GNAQ/ATP2B4/SERPINH1/PDCD4/LRP5/ITIH2/VTN/APP/PRKAG2/SERPINA6/ITIH4/IRS2/DNAJB6/TMBIM1/A2M/CEACAM1/TNFAIP3/VEGFA/AMBP/EGLN1/PTEN/DUSP1/TFPI/TAF7/APLP2/TMBIM6/AGT/SERPING1/SERPINA1/ITIH1/ERRFI1/ARL6IP1/SERPINC1/HNRNPU/DNAJA1/SERPIND1/KNG1",64
"GO:0001906","cell killing","42/720","264/18986",0.159090909090909,4.19513888888889,10.3792364666388,2.65780151951482e-15,2.2498289862693e-12,1.70145925345782e-12,"HAMP/PLA2G2A/IGHG1/CCL25/CXCL8/CCL20/CXCL10/DNASE1L3/GNLY/C3/SERPINB9/GZMB/LGALS3/IL7R/C5/KLRB1/NKG7/CXCL2/CFH/CFHR2/PTPRC/C6/ICAM1/CFHR1/MBL2/C8G/HLA-B/F2/APOL1/HLA-C/CFHR5/HLA-F/HRG/HLA-E/CEACAM1/C8A/C8B/LAMP1/HLA-A/CD59/B2M/KNG1",42
"GO:0010466","negative regulation of peptidase activity","36/720","198/18986",0.181818181818182,4.79444444444444,10.6559050061108,3.8485983469738e-15,2.79243300061142e-12,2.11180982979058e-12,"SPINK1/SLPI/GPC3/SERPINA7/SERPINA11/SERPINE1/SERPINB9/SERPINA3/FABP1/SERPINA5/PLAUR/IFI16/IFI6/CST7/SERPINA4/TIMP1/SERPINF2/SERPINH1/ITIH2/VTN/APP/SERPINA6/ITIH4/DNAJB6/A2M/VEGFA/AMBP/TFPI/APLP2/SERPING1/SERPINA1/ITIH1/ARL6IP1/SERPINC1/SERPIND1/KNG1",36
"GO:0016054","organic acid catabolic process","40/720","249/18986",0.160642570281124,4.23605533244087,10.2050563313197,8.8633880438489e-15,5.00190531941207e-12,3.78274888561458e-12,"TDO2/HAL/HAO2/GLS/PON1/AGXT/FABP1/CYP4A11/SDS/ABHD3/CROT/PON3/PHYH/ACADS/ACAT1/ATP2B4/CPT1A/TAT/ALDH8A1/ECHDC2/GPT2/PCK1/ACMSD/ACADVL/LONP2/DDAH1/IRS2/AMDHD1/GPT/HADHB/ABCD3/GOT1/HAAO/ACADM/FTCD/HAO1/ACAA2/ALDH6A1/SULT2A1/SCP2",40
"GO:0046395","carboxylic acid catabolic process","40/720","249/18986",0.160642570281124,4.23605533244087,10.2050563313197,8.8633880438489e-15,5.00190531941207e-12,3.78274888561458e-12,"TDO2/HAL/HAO2/GLS/PON1/AGXT/FABP1/CYP4A11/SDS/ABHD3/CROT/PON3/PHYH/ACADS/ACAT1/ATP2B4/CPT1A/TAT/ALDH8A1/ECHDC2/GPT2/PCK1/ACMSD/ACADVL/LONP2/DDAH1/IRS2/AMDHD1/GPT/HADHB/ABCD3/GOT1/HAAO/ACADM/FTCD/HAO1/ACAA2/ALDH6A1/SULT2A1/SCP2",40
"GO:0051346","negative regulation of hydrolase activity","40/720","252/18986",0.158730158730159,4.18562610229277,10.1071715235505,1.33994613915336e-14,6.80558644075992e-12,5.14680364396907e-12,"SPINK1/SLPI/GPC3/SERPINA7/SERPINA11/SERPINE1/SERPINB9/SERPINA3/FABP1/SERPINA5/RGS2/PLAUR/APOC3/IFI16/IFI6/CST7/SERPINA4/TIMP1/SERPINF2/SERPINH1/ITIH2/VTN/APP/SERPINA6/ITIH4/DNAJB6/A2M/VEGFA/AMBP/EGLN1/TFPI/APLP2/TMBIM6/SERPING1/SERPINA1/ITIH1/ARL6IP1/SERPINC1/SERPIND1/KNG1",40
