"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.91842937318826,0.967,0.355,0,"0","CHI3L1"
0,2.08502852370695,0.898,0.291,0,"0","CCL15"
0,1.72815164362057,0.917,0.316,0,"0","ALDH3A1"
0,1.90012288212859,0.975,0.381,0,"0","ALDH1L1"
0,2.07470703636763,0.992,0.398,0,"0","AKR1C4"
0,2.25326397244413,0.997,0.404,0,"0","ADH4"
0,1.28553508155826,0.949,0.357,0,"0","APOC2"
0,2.40190184597011,0.947,0.357,0,"0","BHMT"
0,2.13094072176633,0.956,0.372,0,"0","GSTA2"
0,1.99135640947642,0.961,0.384,0,"0","SLC2A2"
0,2.09998817617784,0.898,0.322,0,"0","CDO1"
0,1.96662355828475,0.939,0.363,0,"0","SORD"
0,1.75297923764243,0.955,0.38,0,"0","MAT1A"
0,1.80891748061518,0.902,0.33,0,"0","MIR4458HG"
0,2.33847174514144,0.959,0.39,0,"0","ADH1A"
0,1.72082428341501,0.921,0.356,0,"0","OSGIN1"
0,2.00711788481284,0.963,0.398,0,"0","ANGPTL3"
0,2.03910248961604,0.935,0.373,0,"0","HPR"
0,2.11520220318392,0.875,0.314,0,"0","ARG1"
0,2.1977605217564,0.987,0.426,0,"0","PPP1R16A"
0,1.64419482573268,0.995,0.434,0,"0","PTGR1"
0,1.77495773275639,0.879,0.318,0,"0","AQP9"
0,2.49274283152828,0.793,0.233,0,"0","CYP17A1"
0,2.13335044985944,0.827,0.268,0,"0","DIO1"
0,1.95474287125127,0.848,0.293,0,"0","CMBL"
0,1.48848385862569,0.98,0.425,0,"0","AKR1C3"
0,1.92846711122461,0.962,0.408,0,"0","UGT2B4"
0,1.83325984256881,0.868,0.318,0,"0","TSPAN8"
0,1.81297824324798,0.86,0.312,0,"0","GJB1"
0,1.85394169715299,0.95,0.403,0,"0","TMEM14A"
0,1.95197697818575,0.963,0.419,0,"0","BAAT"
0,2.14005913725956,0.997,0.453,0,"0","LGALS4"
0,2.24326200264734,1,0.458,0,"0","ADH1B"
0,1.79008358886872,0.883,0.342,0,"0","HGD"
0,1.93845837711328,1,0.459,0,"0","AKR1C2"
0,1.98343317755277,1,0.463,0,"0","AKR1C1"
0,2.31238596732944,1,0.468,0,"0","HULC"
0,1.77812752407619,0.978,0.448,0,"0","SDC2"
0,1.71191389083867,1,0.47,0,"0","GPX2"
0,2.09486606939675,1,0.472,0,"0","GGH"
0,2.16932548717563,0.858,0.331,0,"0","ADH1C"
0,1.81726736897422,0.981,0.456,0,"0","APOM"
0,1.69610615888485,0.956,0.432,0,"0","HPD"
0,1.48653927462635,0.999,0.477,0,"0","NME1"
0,1.83772123388916,0.88,0.361,0,"0","SULT2A1"
0,1.7416017533676,1,0.483,0,"0","CBR1"
0,2.3651456005032,0.999,0.483,0,"0","GSTA1"
0,1.6242853226637,0.973,0.458,0,"0","COA3"
0,1.74771654981652,0.969,0.457,0,"0","SERPINC1"
0,1.60705756330612,0.93,0.42,0,"0","GALK1"
0,1.7149120088531,0.957,0.45,0,"0","ITIH3"
0,1.51333592678325,0.962,0.462,0,"0","BNIP3"
0,1.79667486829936,0.998,0.505,0,"0","LEAP2"
0,1.58888621639838,0.98,0.496,0,"0","PCBD1"
0,2.36994237768592,1,0.52,0,"0","CYP2E1"
0,1.71018948336814,0.987,0.511,0,"0","GRHPR"
0,1.85310067671167,1,0.524,0,"0","MGST1"
0,1.72341629947652,0.995,0.521,0,"0","ALDH1A1"
0,1.95666167054825,0.998,0.536,0,"0","FGG"
0,1.50627250923443,0.997,0.541,0,"0","TKT"
0,1.73161321243726,1,0.552,0,"0","CES1"
0,1.79025222045323,0.991,0.546,0,"0","TF"
0,1.44190510424045,0.99,0.548,0,"0","TMEM176A"
0,1.96087432915464,0.992,0.551,0,"0","KNG1"
0,1.59114626951019,0.989,0.55,0,"0","ADI1"
0,1.7592082933907,0.998,0.578,0,"0","EPHX1"
0,1.86665576187676,1,0.593,0,"0","CYB5A"
0,2.18319497541243,1,0.614,0,"0","AHSG"
0,2.04595105321652,1,0.623,0,"0","APOH"
0,1.91655177220778,1,0.629,0,"0","DCXR"
0,1.67273295066415,0.998,0.636,0,"0","FGB"
0,1.98409840295323,1,0.652,0,"0","HP"
0,1.36334956673757,1,0.673,0,"0","DDT"
0,1.51168706697309,1,0.674,0,"0","PEBP1"
0,1.14432350654182,1,0.742,0,"0","PRAP1"
0,1.40243427423573,1,0.748,0,"0","SQSTM1"
0,1.36753437365333,1,0.788,0,"0","COX6C"
0,1.28551660140261,1,0.795,0,"0","UQCRQ"
0,1.86708163306032,1,0.812,0,"0","RBP4"
0,1.21163839902842,1,0.832,0,"0","AMBP"
0,1.22319860243312,1,0.852,0,"0","SOD1"
0,1.00477203048595,1,0.901,0,"0","UQCRB"
0,0.890308792465029,0.999,0.914,0,"0","COX7C"
0,1.244912935447,1,0.926,0,"0","SERPINA1"
0,1.15465559540323,1,0.929,0,"0","GAPDH"
0,1.56073988889411,1,0.941,0,"0","APOC1"
0,1.02596708409733,1,0.987,0,"0","APOA1"
