"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-14.7802688143016,0,0.644,0,"HAMP"
0,-13.8533162643234,0,0.601,0,"PLA2G2A"
0,-11.3414359132949,0.001,0.666,0,"FCN3"
0,-10.2510848808772,0.064,0.911,0,"SPINK1"
1.85141416444598e-145,-9.84842029846768,0,0.261,3.83261246181962e-141,"PEG10"
0,-9.63676196022614,0.023,0.828,0,"SLPI"
1.60923902901274e-266,-9.56414303905399,0.001,0.479,3.33128571395927e-262,"IGLC3"
2.6748308054197e-296,-9.3139107875922,0.002,0.537,5.53716725029932e-292,"IGHG1"
1.83115348353319e-270,-9.05988976792468,0.003,0.497,3.79067082626207e-266,"IGHA1"
0,-8.9718285023945,0.005,0.595,0,"VNN1"
0,-8.92204786424948,0.009,0.647,0,"SLC22A1"
0,-8.86976133027173,0.007,0.727,0,"IGHG3"
1.03150668400559e-253,-8.6712163482418,0.003,0.469,2.13532198655998e-249,"IGHG4"
0,-8.61244010074966,0.022,0.773,0,"GPC3"
5.23974073954647e-143,-8.27412962685242,0.003,0.279,1.08467873049352e-138,"AVPR1A"
4.74525460719031e-141,-8.08835141923192,0.002,0.27,9.82315156234466e-137,"CLEC4G"
1.48606982181129e-181,-8.04989483346666,0.002,0.337,3.07631313813154e-177,"ASPG"
4.84109150551545e-152,-8.00040316658237,0.004,0.304,1.00215435255675e-147,"MUC13"
0,-7.80724747529888,0.023,0.724,0,"SERPINA7"
8.00198755208152e-198,-7.63735847139118,0.004,0.383,1.6564914431564e-193,"ANXA10"
4.29320609177374e-142,-7.58729058369961,0.006,0.298,8.88736593058082e-138,"CRHBP"
5.93541729867088e-239,-7.49058366587516,0.007,0.472,1.22869073499786e-234,"IGLC2"
6.62795903422425e-137,-7.40524877143158,0.005,0.285,1.37205379967476e-132,"SGCE"
1.28493265019919e-286,-7.30611053199597,0.018,0.61,2.65993907917734e-282,"LCAT"
1.60915964532987e-237,-7.29508045242945,0.036,0.607,3.33112138179737e-233,"CYP3A7"
1.89789953434228e-295,-7.13076258052082,0.077,0.822,3.92884182604196e-291,"TDO2"
9.84011632843707e-119,-7.06670300847747,0.025,0.35,2.03700248114976e-114,"S100P"
4.88747679546394e-221,-6.98266307283653,0.015,0.491,1.01175657142899e-216,"HAL"
7.84835977795702e-103,-6.53297450713297,0.011,0.255,1.62468895763488e-98,"UGT2A3"
2.57820457934456e-142,-6.48203073591132,0.012,0.334,5.33714129970116e-138,"GPR88"
