"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-14.7802688143016,0,0.644,0,"HAMP"
0,-13.8533162643234,0,0.601,0,"PLA2G2A"
0,-11.3414359132949,0.001,0.666,0,"FCN3"
0,-10.2510848808772,0.064,0.911,0,"SPINK1"
0,-9.63676196022614,0.023,0.828,0,"SLPI"
0,-8.9718285023945,0.005,0.595,0,"VNN1"
0,-8.92204786424948,0.009,0.647,0,"SLC22A1"
0,-8.86976133027173,0.007,0.727,0,"IGHG3"
0,-8.61244010074966,0.022,0.773,0,"GPC3"
0,-7.80724747529888,0.023,0.724,0,"SERPINA7"
2.6748308054197e-296,-9.3139107875922,0.002,0.537,5.53716725029932e-292,"IGHG1"
1.89789953434228e-295,-7.13076258052082,0.077,0.822,3.92884182604196e-291,"TDO2"
1.28493265019919e-286,-7.30611053199597,0.018,0.61,2.65993907917734e-282,"LCAT"
1.83115348353319e-270,-9.05988976792468,0.003,0.497,3.79067082626207e-266,"IGHA1"
1.60923902901274e-266,-9.56414303905399,0.001,0.479,3.33128571395927e-262,"IGLC3"
1.03150668400559e-253,-8.6712163482418,0.003,0.469,2.13532198655998e-249,"IGHG4"
5.93541729867088e-239,-7.49058366587516,0.007,0.472,1.22869073499786e-234,"IGLC2"
1.60915964532987e-237,-7.29508045242945,0.036,0.607,3.33112138179737e-233,"CYP3A7"
4.55137853484274e-221,-5.86648254513768,0.031,0.564,9.42180870497795e-217,"IGF1"
4.88747679546394e-221,-6.98266307283653,0.015,0.491,1.01175657142899e-216,"HAL"
8.00198755208152e-198,-7.63735847139118,0.004,0.383,1.6564914431564e-193,"ANXA10"
2.33832839776483e-195,-6.22956829881845,0.018,0.46,4.84057361621298e-191,"HAO2"
2.24416151010374e-189,4.2924943198351,1,0.675,4.64563874206575e-185,"GGH"
2.79149804834773e-189,4.56798625174529,1,0.552,5.77868010988464e-185,"AKR1C2"
1.39627010732839e-188,4.21970198121443,1,0.561,2.8904187491805e-184,"AKR1C1"
2.07512400596544e-186,4.50171454601365,0.998,0.322,4.29571420474905e-182,"NME1"
5.82212193972156e-186,3.3183293095818,1,0.819,1.20523746274176e-181,"SQSTM1"
6.06746545762101e-186,3.0910525542442,1,0.877,1.25602602438212e-181,"GLUL"
1.31698728343071e-185,1.99631530090013,1,0.991,2.72629537542991e-181,"RPL8"
1.65144389130885e-183,2.35641414004745,1,0.963,3.41865399939845e-179,"GAPDH"
1.91342993483332e-183,5.14133750340529,1,0.175,3.96099130809846e-179,"SPP1"
