"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-14.7193298089695,0,0.655,0,"HAMP"
0,-9.57606245279386,0.021,0.836,0,"SLPI"
6.6083071757296e-301,-11.4804475068925,0,0.624,1.36798566844778e-296,"FCN3"
1.12576714167889e-300,-8.75688000247727,0.007,0.677,2.33045055998948e-296,"IGHG3"
5.57336400650112e-297,-10.3172302503501,0.057,0.907,1.1537420829858e-292,"SPINK1"
7.28201778974617e-292,-8.54606949960969,0.022,0.748,1.50745050265536e-287,"GPC3"
6.67813308432181e-283,-13.4883359594371,0,0.584,1.38244032978546e-278,"PLA2G2A"
5.7042832330389e-275,-8.98900256665499,0.009,0.637,1.18084367207138e-270,"SLC22A1"
1.3245901541104e-268,-7.81136017807635,0.021,0.699,2.74203407802393e-264,"SERPINA7"
1.01562079512337e-247,-9.08427663377157,0.003,0.544,2.10243660798489e-243,"VNN1"
9.76472439581054e-240,-7.1829540720405,0.067,0.823,2.02139559717674e-235,"TDO2"
5.71128940677323e-221,-7.1768971024497,0.017,0.584,1.18229402009613e-216,"LCAT"
8.59413167432369e-221,-9.46975576941994,0.002,0.478,1.77907119790175e-216,"IGHA1"
3.28522041621818e-212,-9.01096735483163,0.003,0.469,6.80073478361326e-208,"IGHG1"
1.10577904120089e-198,-9.8466788696646,0.001,0.425,2.28907319318995e-194,"IGLC3"
6.71594199554307e-193,-7.41935362617081,0.032,0.602,1.39026715249737e-188,"CYP3A7"
6.06104442895519e-181,-6.00489022682997,0.024,0.544,1.25469680723801e-176,"IGF1"
1.00068010756495e-172,-8.32375123888917,0.003,0.389,2.0715078906702e-168,"IGHG4"
2.67458403067848e-172,-7.03148156629033,0.013,0.465,5.53665640190753e-168,"HAL"
1.51068463792677e-170,-7.40461445304608,0.007,0.416,3.12726826897222e-166,"IGLC2"
7.6804726537702e-149,-6.10817315808082,0.016,0.434,1.58993464405697e-144,"HAO2"
3.94819120051752e-147,-8.41091515575554,0.003,0.341,8.17315060419132e-143,"ANXA10"
2.17277454718771e-144,-7.87194664909774,0.002,0.323,4.49786059013328e-140,"ASPG"
1.02645971317738e-134,4.34536997035272,1,0.619,2.12487425224849e-130,"GGH"
1.25954887705437e-134,4.51111152547766,1,0.549,2.60739213039025e-130,"AKR1C2"
2.09686951638177e-134,4.36018357853992,1,0.518,4.34072958586191e-130,"AKR1C1"
4.95205600814987e-133,3.44539940072454,1,0.805,1.0251251142471e-128,"SQSTM1"
9.13367448838366e-133,2.04225938879286,1,0.991,1.8907619558403e-128,"RPL8"
1.11645033437867e-132,-5.21137958549414,0.125,0.712,2.31116383719729e-128,"PGLYRP2"
2.6869331751267e-132,3.14085895094872,1,0.867,5.56222036582978e-128,"GLUL"
2.81377603423243e-132,4.38279524720206,0.998,0.31,5.82479776846455e-128,"NME1"
1.27953963260597e-130,-5.08208840803675,0.1,0.659,2.64877499345762e-126,"SLC9A3R2"
1.6988949063132e-130,3.44399439334023,0.997,0.518,3.51688234555896e-126,"ATP5G1"
2.77598709922487e-130,2.32089159492415,1,0.996,5.74657089410541e-126,"RPL19"
4.61448112501746e-130,2.37947138756908,1,0.965,9.55243737689864e-126,"GAPDH"
4.41217294868229e-129,3.74685859924313,0.994,0.425,9.1336392210672e-125,"TKT"
7.2077647169508e-129,4.08520392406113,0.992,0.332,1.49207937405599e-124,"STRA13"
1.2131184109724e-128,2.94573925288189,0.999,0.726,2.51127642255396e-124,"ENO1"
1.46801493418761e-128,4.68028014119385,1,0.181,3.03893771526178e-124,"SPP1"
2.22537803357725e-128,3.45795551032289,0.994,0.465,4.60675506730827e-124,"PHB"
