"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-14.7482863286336,0,0.654,0,"HAMP"
0,-9.57865269947932,0.021,0.839,0,"SLPI"
1.51250576519422e-293,-8.7915827348775,0.007,0.668,3.13103818452856e-289,"IGHG3"
2.04670728599958e-289,-11.3124903557718,0,0.607,4.23688875274773e-285,"FCN3"
7.35037726273831e-287,-8.58077512331887,0.021,0.749,1.52160159715946e-282,"GPC3"
2.64608910108838e-283,-10.316793509209,0.058,0.9,5.47766904816306e-279,"SPINK1"
2.47491540202493e-282,-13.4655305353632,0,0.588,5.12332237373181e-278,"PLA2G2A"
1.30329344260508e-264,-8.99026469940258,0.009,0.626,2.69794775553678e-260,"SLC22A1"
4.08751800040256e-261,-7.82453655664304,0.021,0.697,8.46157101263335e-257,"SERPINA7"
1.07489735320397e-235,-9.06377292073814,0.003,0.526,2.22514501086753e-231,"VNN1"
9.87172756922644e-230,-7.21017507044379,0.067,0.82,2.04354632410557e-225,"TDO2"
9.77552682847584e-219,-9.47806147382613,0.001,0.474,2.02363180876278e-214,"IGHG1"
7.29164883777501e-217,-7.25481887651094,0.016,0.583,1.5094442259078e-212,"LCAT"
1.4386636886423e-216,-9.47340127261569,0.002,0.474,2.97817770185843e-212,"IGHA1"
4.37419891665035e-200,-9.87457343437425,0.001,0.431,9.05502917735789e-196,"IGLC3"
9.83843693762798e-186,-7.39754132034565,0.032,0.597,2.03665483045837e-181,"CYP3A7"
2.91077701412962e-175,-6.03969529109257,0.024,0.54,6.02559949694972e-171,"IGF1"
1.14140131563001e-170,-7.07653155221212,0.013,0.469,2.36281486348569e-166,"HAL"
9.26619180120538e-166,-8.35026754032875,0.003,0.379,1.91819436476752e-161,"IGHG4"
1.00167042456983e-163,-7.32497357988015,0.007,0.408,2.073557945902e-159,"IGLC2"
8.90785704662501e-145,-7.88349394743059,0.002,0.327,1.84401548722184e-140,"ASPG"
5.08197785453233e-144,-6.12347951683171,0.016,0.431,1.05202023566674e-139,"HAO2"
3.19716694681271e-143,-8.39649414958813,0.003,0.336,6.61845529659699e-139,"ANXA10"
1.22835220505979e-126,4.33071359850853,1,0.616,2.54281189969428e-122,"GGH"
1.54098392391758e-126,4.45662097082691,1,0.559,3.18999082090178e-122,"AKR1C2"
2.51271874356284e-126,4.31587688306574,1,0.517,5.20157907104944e-122,"AKR1C1"
4.44687291098069e-126,-5.20299928057053,0.125,0.711,9.20547161302112e-122,"PGLYRP2"
1.30012332492656e-125,2.07485981109826,1,0.991,2.69138529493046e-121,"RPL8"
6.09090715675547e-125,3.42358404924765,1,0.801,1.26087869051995e-120,"SQSTM1"
2.01049218890117e-124,4.4250316544822,0.998,0.294,4.16191988024431e-120,"NME1"
2.76244561951723e-124,3.12768886401543,1,0.863,5.71853867696261e-120,"GLUL"
8.77085275434825e-123,2.34599127138026,1,0.995,1.81565422867763e-118,"RPL19"
1.2860963436951e-122,-5.08887916569956,0.098,0.649,2.66234804108323e-118,"SLC9A3R2"
1.54255256867883e-122,3.41663196481935,0.997,0.517,3.19323807242204e-118,"ATP5G1"
4.25185374411183e-122,2.36233645330153,1,0.962,8.8017624356859e-118,"GAPDH"
2.19092399452646e-121,3.78362600606252,0.994,0.408,4.53543176106923e-117,"TKT"
6.17874581365933e-121,4.06804987761915,0.992,0.322,1.27906217088562e-116,"STRA13"
9.87854365298762e-121,2.93747588499817,0.999,0.716,2.04495732160497e-116,"ENO1"
1.34482361519616e-120,3.34248734033742,0.999,0.545,2.78391936581758e-116,"CBR1"
1.5048592110321e-120,3.46935636607958,0.994,0.45,3.11520905275756e-116,"PHB"
1.93156806485469e-120,4.61132546393997,1,0.171,3.99853905105569e-116,"SPP1"
2.43320589695032e-120,3.2733968069805,0.997,0.555,5.03697952727686e-116,"SNHG25"
3.72883884357806e-120,1.80755816773188,1,0.995,7.71906929009094e-116,"RPL30"
8.56220309911298e-120,2.72512835325123,0.998,0.825,1.77246166354738e-115,"NPM1"
1.98225637281863e-119,1.91365976774686,1,0.976,4.10346891737185e-115,"RPL38"
3.22229029965887e-119,2.1325309731453,1,0.986,6.67046314932384e-115,"RPL7"
5.40389227116623e-119,7.92811348363409,0.969,0.019,1.11865973905412e-114,"CHI3L1"
1.13989236339058e-118,2.14828935127964,1,0.943,2.35969118145483e-114,"RPL27"
1.32069345561615e-117,2.13781136189754,1,0.915,2.73396752247099e-113,"RPL23"
3.21037162118274e-117,1.56785570460625,1,1,6.64579029301039e-113,"RPS14"
1.51598589160888e-116,3.65066087530707,0.99,0.37,3.13824239421954e-112,"AKR1C4"
5.87822324317299e-116,2.1215438196223,1,0.967,1.21685099356924e-111,"RPL23A"
4.02861568489436e-114,2.18795317136564,1,0.915,8.33963732929982e-110,"CES1"
1.57533809474356e-113,2.01794434184014,1,0.957,3.26110738992864e-109,"EIF1"
1.87428718982347e-113,-4.96824577241962,0.143,0.706,3.87996191165356e-109,"CYP2C8"
2.08608742132302e-113,2.51244909029144,0.997,0.64,4.31840957088078e-109,"PSMB3"
3.14075582922402e-113,-2.79416864121546,0.964,0.995,6.50167864207665e-109,"TMSB4X"
5.56729743759156e-113,2.47345463840957,0.995,0.673,1.15248624255583e-108,"ANAPC11"
2.34834590826812e-111,1.73956069334527,1,0.938,4.86131086470583e-107,"COX6C"
2.65913776091373e-110,2.84279388558748,0.984,0.531,5.50468107886752e-106,"EIF3H"
4.00375751582558e-110,-2.70073516933956,0.982,0.986,8.28817843351054e-106,"CLU"
1.26297661416983e-109,2.98885234252409,0.994,0.474,2.61448788899296e-105,"PTGR1"
1.74930547329135e-109,-5.27318174358204,0.098,0.611,3.62123726026043e-105,"GNMT"
2.01424852600148e-109,1.62513702112894,1,0.929,4.16969587367567e-105,"EEF1D"
2.61044360707625e-109,1.5413560512319,1,0.986,5.40387931100854e-105,"RPS23"
1.56567874474689e-108,-4.04966006632509,0.628,0.953,3.24111156950054e-104,"AGXT"
2.04828633586008e-108,-4.96613123154903,0.445,0.915,4.24015754386396e-104,"IFI27"
2.23907088304133e-108,-5.64254096068806,0.02,0.37,4.63510063498386e-104,"EMP1"
2.30151677267676e-108,3.51132564804468,0.975,0.299,4.76436987111817e-104,"ALDH1L1"
5.96354999972653e-108,3.25891340990186,0.996,0.299,1.23451448544339e-103,"ADH4"
8.22138249442899e-108,9.61430161792245,0.918,0,1.70190839017175e-103,"ALDH3A1"
2.75258912144262e-107,1.48859715141981,1,0.957,5.69813474029836e-103,"RPL29"
6.23698530999968e-107,-4.49920637544219,0.684,0.957,1.29111832902303e-102,"C3"
7.3142444813376e-106,-7.7965624187268,0.005,0.27,1.5141217500817e-101,"CRHBP"
2.72147743845063e-105,-7.83749616863206,0.004,0.261,5.63373044533664e-101,"MUC13"
4.04327646633049e-105,2.26218843011593,0.993,0.744,8.36998661295076e-101,"EIF3E"
6.28219267051756e-105,2.82122453689626,0.998,0.55,1.30047670472384e-100,"ADH1B"
1.77073908736628e-104,1.49489265889022,1,0.953,3.66560698475694e-100,"UQCRB"
2.94020694842313e-104,2.97393071698239,0.963,0.408,6.08652240393071e-100,"MRPL12"
3.19251133096788e-104,1.54223264470129,1,1,6.6088177062366e-100,"RPL18A"
4.29562048445838e-104,-6.39615533775026,0.042,0.45,8.89236396487729e-100,"CCL25"
5.98607461717663e-103,1.54068523061715,1,0.962,1.23917730650173e-98,"RPS17"
1.06931556363771e-102,2.42439142810995,0.996,0.531,2.21359014828641e-98,"ANXA2"
4.55410451397733e-102,-7.33316651361135,0.005,0.265,9.42745175438447e-98,"SGCE"
5.50207412235926e-102,4.39414114297165,0.931,0.104,1.13898436406959e-97,"LGALS3BP"
8.14086249233153e-102,-6.00839100655071,0.024,0.374,1.68523994453755e-97,"HPGD"
3.54310658521727e-101,1.31887882100355,1,0.986,7.33458494205828e-97,"RPL35A"
5.24029697003015e-100,2.28797317842725,0.999,0.607,1.08479387576594e-95,"GPX2"
6.37948248547027e-100,2.54030778884853,0.976,0.507,1.3206166693172e-95,"NHP2"
9.51185452534367e-100,1.82746089418696,0.995,0.773,1.96904900529139e-95,"PSMA7"
9.82990930728975e-100,1.29851677629367,1,0.991,2.03488952570205e-95,"UBA52"
4.15688202897891e-99,-4.49164954427604,0.141,0.664,8.60516148818925e-95,"SERPINA11"
8.09697468661884e-99,-3.03484286629264,1,1,1.67615472987697e-94,"ALB"
1.13543842141634e-98,4.43046008443656,0.941,0.209,2.35047107617396e-94,"BHMT"
2.65984078478496e-98,-6.25729470885511,0.066,0.507,5.50613640858335e-94,"NPW"
3.12802069807379e-98,1.13944533152423,1,0.995,6.47531564708256e-94,"RPLP1"
1.24080679826565e-97,-4.1447064019092,0.289,0.806,2.56859415308972e-93,"PON1"
6.49312739060575e-97,-4.41781912548103,0.531,0.915,1.3441423011293e-92,"FOS"
1.0672761152002e-96,-4.12260456135387,0.186,0.725,2.20936828607594e-92,"NR0B2"
3.14414610958863e-96,1.94854042257591,0.984,0.777,6.50869686145943e-92,"NDUFB9"
1.30748513292792e-95,2.67271906127763,0.946,0.408,2.70662497367408e-91,"PUF60"
1.39323695543525e-95,-4.71113367971271,0.095,0.569,2.88413982144651e-91,"APOF"
1.72202695744634e-95,2.38244120324338,0.969,0.517,3.56476800460967e-91,"COA3"
1.0008887249873e-94,-4.29432210603286,0.282,0.796,2.07193974959621e-90,"RNASE4"
1.01262656112469e-94,-3.76158417489759,0.642,0.934,2.09623824418422e-90,"ANG"
1.52920016310527e-94,1.38652404831718,1,0.986,3.16559725764421e-90,"RPS2"
1.68891008104525e-93,-4.63694535629316,0.112,0.597,3.49621275877177e-89,"CDKN1A"
3.1303176477045e-93,2.81126025689891,0.945,0.365,6.48007056251309e-89,"C17orf89"
1.13896803091284e-92,1.65062527563424,0.997,0.863,2.35777772079268e-88,"RPSA"
2.7026872819969e-91,1.99629347492934,0.982,0.673,5.59483294246179e-87,"ATP5H"
3.26911327886238e-91,1.31560320124657,1,1,6.767391398573e-87,"FTL"
5.11166130472355e-91,1.3176135470989,1,0.991,1.05816500669082e-86,"RPL15"
9.21262400739333e-91,1.38176728975318,0.998,0.9,1.90710529577049e-86,"TPI1"
9.60697714174473e-91,-6.33565617973064,0.013,0.289,1.98874033811258e-86,"GPR88"
1.11903428473601e-90,1.5403236109013,0.998,0.867,2.31651287283201e-86,"RPL4"
1.13464690833354e-90,1.73584254653855,0.988,0.754,2.34883256494126e-86,"ENY2"
1.40816540227705e-90,1.92576713953195,0.975,0.649,2.91504319925372e-86,"CYC1"
1.50138754677654e-90,-4.00344794189491,0.461,0.863,3.10802236058212e-86,"C4BPA"
1.52955479443307e-90,-6.35642268676692,0.011,0.28,3.16633137995591e-86,"GHR"
1.86171618963137e-90,-3.46440886189625,0.79,0.929,3.8539386841559e-86,"A1BG"
3.21795778215786e-90,1.64499054489497,0.997,0.801,6.66149440484498e-86,"BTF3"
1.58202890292107e-88,2.6529739936976,0.945,0.389,3.27495803193691e-84,"RAB5C"
7.95710353218719e-88,1.63674012752626,0.988,0.796,1.64720000219807e-83,"C19orf53"
8.1860831323219e-88,-2.8391964456839,0.607,0.905,1.69460106922196e-83,"SARAF"
1.60736936180558e-87,2.44542731828222,0.936,0.436,3.32741531587372e-83,"MIEN1"
1.91237914250359e-87,-1.96283333789122,0.991,0.972,3.95881606289669e-83,"VTN"
2.23200476433173e-87,1.71326859733314,0.99,0.73,4.62047306264311e-83,"SPCS1"
