"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.45557217753513e-164,10.2350954408591,0.928,0,3.01317996471548e-160,"ALDH3A1"
2.09624421364865e-110,8.46877131938924,0.744,0,4.33943514667407e-106,"GAGE1"
2.01174204668415e-179,8.39720743070946,0.972,0.018,4.16450721084085e-175,"CHI3L1"
2.06534678357896e-67,7.29095031979809,0.548,0,4.2754743766868e-63,"FABP6"
4.30131138286765e-65,7.11679699081394,0.536,0,8.90414469367433e-61,"SERTAD4-AS1"
1.39548934943008e-44,6.5481276034596,0.41,0,2.8888025022552e-40,"ODAM"
1.893183272516e-33,6.2089892482239,0.329,0,3.91907869243537e-29,"GSTA3"
6.75452674390891e-37,6.14404561406997,0.355,0,1.39825458125658e-32,"DKK4"
1.1698271423392e-39,6.12052044631824,0.376,0,2.42165916735639e-35,"GAGE13"
1.69974815709872e-37,6.00530343711825,0.36,0,3.51864866001006e-33,"GAGE2A"
5.94080438189703e-31,5.92074323069933,0.309,0,1.2298059150965e-26,"RP11-20G13.3"
1.40334464039359e-69,5.74984349598493,0.57,0.006,2.90506374007876e-65,"TFF2"
4.40376454910095e-110,5.60713018613634,0.769,0.034,9.11623299309387e-106,"CYP17A1"
1.69553263810747e-44,5.60364745767879,0.415,0.003,3.50992211414627e-40,"MAPT"
5.92767430963982e-47,5.58263617533156,0.432,0.003,1.22708785883854e-42,"RP11-492E3.2"
6.27728498526848e-29,5.55775243512931,0.292,0,1.29946076480043e-24,"EGFR-AS1"
8.13097297534576e-35,5.51443721772087,0.345,0.003,1.68319271562633e-30,"TMEM52B"
3.37660851496729e-98,5.4079046918261,0.716,0.025,6.98991728683379e-94,"MINCR"
2.17476204788075e-27,5.40025407501202,0.279,0,4.50197491531795e-23,"UGT3A2"
8.08868500135399e-28,5.3922551196054,0.283,0,1.67443868213029e-23,"SLC22A11"
6.37229677527147e-90,5.38915164313561,0.67,0.006,1.31912915544895e-85,"AP1M2"
7.54635574511094e-58,5.36998636469346,0.507,0.009,1.56217110279542e-53,"TRIM16L"
1.28370382357123e-72,5.36017736333925,0.594,0.015,2.65739528517481e-68,"BIRC5"
4.16879977515093e-28,5.34542872650935,0.285,0,8.62983241453993e-24,"SPESP1"
1.71320693008812e-92,5.30787446605014,0.696,0.031,3.54650966597542e-88,"IL17RB"
2.21594735343298e-38,5.26261944471693,0.385,0.012,4.58723261634161e-34,"CDC20"
1.63678875881128e-25,5.1926977711211,0.263,0,3.38831640961523e-21,"CPLX2"
1.91342993483332e-183,5.14133750340529,1,0.175,3.96099130809846e-179,"SPP1"
2.33516003254655e-32,5.03538875834156,0.33,0.006,4.83401478337462e-28,"TMEM92"
6.1933270022802e-105,5.03529845687853,0.745,0.025,1.28208062274202e-100,"SEPT4"
3.23779691987228e-32,5.00907514252269,0.332,0.009,6.70256340382761e-28,"LINC00176"
1.32253583850546e-25,5.00701572398299,0.264,0,2.73778143929016e-21,"FERMT1"
4.60943761942952e-58,4.94088206670415,0.516,0.015,9.54199681598106e-54,"PRKCDBP"
1.03740398958914e-75,4.91189391654291,0.617,0.021,2.14752999884848e-71,"RPL39L"
6.9811210001818e-159,4.66878262634721,0.941,0.129,1.44516185824763e-154,"LGALS3BP"
2.13686246096947e-38,4.66451826478545,0.409,0.031,4.42351898045289e-34,"CCNB1"
5.19307814498976e-25,4.64479016750326,0.269,0.006,1.07501910679433e-20,"CDT1"
1.27192295959538e-152,4.59903234862565,0.948,0.218,2.63300771865839e-148,"BHMT"
5.04138528882456e-72,4.58502207992521,0.608,0.034,1.04361716863957e-67,"TTLL4"
2.79149804834773e-189,4.56798625174529,1,0.552,5.77868010988464e-185,"AKR1C2"
2.07512400596544e-186,4.50171454601365,0.998,0.322,4.29571420474905e-182,"NME1"
2.81210154949629e-49,4.46984460311331,0.448,0.003,5.82133141761227e-45,"RP3-460G2.2"
4.56097529875625e-40,4.45117580614292,0.408,0.021,9.44167496595531e-36,"CENPM"
1.61503538641916e-23,4.43943499584179,0.251,0.003,3.3432847534263e-19,"RP11-242J7.1"
2.9734242730286e-95,4.39274369776154,0.715,0.031,6.1552855875965e-91,"PFN2"
5.46524330325866e-41,4.35873917691799,0.392,0.003,1.13136001620757e-36,"SSUH2"
1.73835541295823e-92,4.30820919370454,0.72,0.064,3.59856954036483e-88,"G6PD"
2.24416151010374e-189,4.2924943198351,1,0.675,4.64563874206575e-185,"GGH"
3.6025211727188e-48,4.23765274533825,0.467,0.021,7.45757907964519e-44,"C1QTNF3"
1.39627010732839e-188,4.21970198121443,1,0.561,2.8904187491805e-184,"AKR1C1"
2.86163903793892e-23,4.19045527670759,0.258,0.009,5.92387897243736e-19,"RP11-845C23.3"
1.42089754388721e-41,4.12343099268899,0.415,0.015,2.94140000560092e-37,"NOTUM"
1.98109997218077e-38,4.11539469051655,0.392,0.018,4.10107505241141e-34,"TOP2A"
2.57667781783848e-21,4.11293812872085,0.25,0.015,5.33398075070744e-17,"DSCC1"
5.54695661458576e-66,4.08114998310689,0.588,0.037,1.1482754887854e-61,"TLCD1"
1.76817682080238e-22,4.0531355093619,0.275,0.025,3.66030283674301e-18,"AURKA"
8.00654730422798e-40,4.04518767223476,0.403,0.018,1.65743535744823e-35,"KCCAT211"
9.62512244822861e-36,4.03729311451839,0.385,0.028,1.9924965980078e-31,"UBE2C"
3.60590412037055e-57,4.01506399347964,0.529,0.025,7.46458211957907e-53,"NLE1"
1.52599034282497e-62,4.00968686830214,0.563,0.028,3.15895260868197e-58,"PTGES"
1.214548483265e-180,4.00625686322489,0.991,0.383,2.51423681520687e-176,"STRA13"
3.96604650270358e-24,4.0044233385169,0.275,0.015,8.21011286524668e-20,"CTD-3065J16.9"
2.03052763180532e-33,3.99799176937494,0.353,0.015,4.2033952506002e-29,"HRASLS2"
6.98518301616756e-28,3.99380248494313,0.304,0.012,1.44600273617685e-23,"HSPB9"
5.93082648766355e-30,3.96640082451098,0.322,0.012,1.22774039121123e-25,"RP1-27K12.2"
2.61011695382905e-51,3.9608923256351,0.502,0.037,5.40320310612151e-47,"RP13-650J16.1"
1.05420032363649e-38,3.96062633308792,0.404,0.021,2.1823000899599e-34,"PRRT3-AS1"
7.99861419728371e-27,3.95225249302541,0.291,0.009,1.6557931249797e-22,"HHIPL2"
1.38179546677658e-39,3.92049092226609,0.407,0.021,2.8604547957742e-35,"RNF43"
4.33338858971476e-43,3.91842072312329,0.438,0.025,8.97054771956852e-39,"HEXIM2"
4.9571673392238e-48,3.90183703376423,0.481,0.034,1.02618321089272e-43,"FBXO32"
5.01127169601125e-31,3.84167328783537,0.332,0.012,1.03738335379129e-26,"CBX2"
3.46509615055287e-97,3.79258393271739,0.763,0.104,7.1730955412595e-93,"TUBG1"
6.2609895784575e-93,3.77103552222748,0.74,0.083,1.29608745263649e-88,"SKAP1"
7.75979063626777e-50,3.75094817310697,0.496,0.037,1.60635425961379e-45,"SLC26A6"
1.71517705803837e-182,3.74159157893512,0.995,0.46,3.55058802784524e-178,"TKT"
2.09614103496112e-32,3.7392961353361,0.344,0.012,4.33922155647301e-28,"SLC16A4"
4.57083027655827e-75,3.67874045433808,0.661,0.077,9.46207575550327e-71,"ABCG2"
8.73877640334255e-43,3.66518769154798,0.448,0.037,1.80901410325594e-38,"BYSL"
1.03629225642316e-56,3.65882311601744,0.534,0.037,2.14522860002159e-52,"SNAI2"
7.48077998226228e-31,3.65852825408489,0.35,0.028,1.54859626412811e-26,"RRM2"
2.86840022472107e-94,3.65803799618013,0.751,0.095,5.93787530519509e-90,"TMEM99"
1.94288392208404e-36,3.64899953412258,0.379,0.015,4.02196400710618e-32,"CNTNAP2"
1.25631439868732e-35,3.647344320556,0.381,0.021,2.60069643672262e-31,"SLC28A1"
1.55597185703567e-107,3.62971743820333,0.806,0.141,3.22101734124954e-103,"BOP1"
2.87716071003374e-175,3.62620448757904,0.991,0.414,5.95601038584084e-171,"AKR1C4"
3.02664433768043e-166,3.62545996504106,0.978,0.319,6.26545644343225e-162,"ALDH1L1"
2.71070848677912e-44,3.56403725850452,0.441,0.021,5.61143763848147e-40,"TRIM16"
1.39412235610233e-181,3.54958312388514,0.995,0.488,2.88597268936744e-177,"PHB"
3.56193644888087e-32,3.53722184518063,0.342,0.012,7.37356464282829e-28,"RP11-410L14.2"
3.92647661955684e-112,3.53721496614505,0.823,0.117,8.12819925014461e-108,"PYCARD"
2.03909112322806e-64,3.51976445734943,0.582,0.034,4.22112253419442e-60,"BBOX1"
5.81835203120717e-38,3.50762195263345,0.416,0.037,1.2044570539802e-33,"WDR4"
2.11383973031476e-77,3.50406597724262,0.678,0.092,4.37585962572458e-73,"C17orf58"
7.3579215694199e-26,3.48890844083583,0.284,0.009,1.52316334408561e-21,"FADS6"
9.02584474577784e-51,3.48774539484857,0.486,0.025,1.86844012082347e-46,"CGREF1"
2.27771560085109e-96,3.48006601971843,0.757,0.077,4.71509906532185e-92,"RAC3"
