"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
8.22138249442899e-108,9.61430161792245,0.918,0,1.70190839017175e-103,"ALDH3A1"
5.40389227116623e-119,7.92811348363409,0.969,0.019,1.11865973905412e-114,"CHI3L1"
6.41146413952849e-70,7.84847544655606,0.722,0,1.32723719152379e-65,"GAGE1"
2.05276153160516e-41,6.68872671288986,0.519,0,4.24942164657584e-37,"FABP6"
5.126773482236e-40,6.50280155877782,0.507,0,1.06129337855768e-35,"SERTAD4-AS1"
2.26820427909708e-27,5.98566309178858,0.385,0,4.69540967815887e-23,"ODAM"
1.28385889994677e-24,5.73616157144435,0.362,0.005,2.65771630877981e-20,"CDC20"
4.11064707860544e-70,5.63746020009725,0.745,0.028,8.50945051742111e-66,"CYP17A1"
2.11235158984867e-21,5.63385117973529,0.317,0,4.37277902614572e-17,"GSTA3"
6.30959388764284e-27,5.57267993185639,0.38,0,1.30614903068095e-22,"MAPT"
1.77271059448536e-66,5.56062477833429,0.713,0.009,3.66968820164414e-62,"SEPT4"
3.8261827590236e-25,5.54785505312131,0.36,0,7.92058092945475e-21,"SSUH2"
1.07400754097238e-24,5.54241382294575,0.363,0.005,2.22330301056693e-20,"UBE2C"
2.6923904667482e-24,5.5170322595594,0.351,0,5.57351750521546e-20,"GAGE13"
1.32714383739464e-22,5.51098752268306,0.331,0,2.74732045779065e-18,"DKK4"
2.11521696000175e-22,5.37161030092351,0.329,0,4.37871062889962e-18,"GAGE2A"
1.72030373701089e-35,5.36636803597678,0.474,0.005,3.56120076598623e-31,"TRIM16L"
2.17261185801318e-19,5.31876535748127,0.292,0,4.49752380727308e-15,"RP11-20G13.3"
2.63261599165371e-58,5.29626153871387,0.669,0.024,5.44977836432235e-54,"IL17RB"
5.40562740594295e-26,5.24418054235097,0.383,0.009,1.11901892930425e-21,"CENPM"
3.03889794468721e-21,5.24026133520331,0.315,0,6.290822635297e-17,"TMEM92"
1.38630793948459e-60,5.1673948705527,0.685,0.024,2.86979606552705e-56,"MINCR"
6.21110156747134e-43,5.12269528005876,0.547,0.009,1.28576013548224e-38,"TFF2"
2.00288208567729e-28,4.96083314885912,0.405,0.005,4.14616620556056e-24,"RP11-492E3.2"
8.70622365554607e-22,4.93829477757331,0.329,0.005,1.80227535893459e-17,"TMEM52B"
2.16331739607972e-17,4.92301420455234,0.266,0,4.47828334162463e-13,"EGFR-AS1"
1.75138916716087e-45,4.89638498862806,0.572,0.014,3.62555071493971e-41,"BIRC5"
4.07101945576383e-46,4.79892461069616,0.577,0.014,8.42741737537671e-42,"TTLL4"
2.42328411987437e-18,4.77916215587016,0.278,0,5.01644045655193e-14,"TSACC"
1.15028677681786e-28,4.76973066466535,0.413,0.009,2.38120865669065e-24,"HEXIM2"
6.90189701427633e-20,4.75503305465474,0.306,0.005,1.42876170092534e-15,"LINC00176"
8.12690276724284e-17,4.75347241079743,0.258,0,1.68235014184694e-12,"SLC22A11"
2.99958786085613e-16,4.74182962521876,0.25,0,6.20944683075828e-12,"UGT3A2"
2.70005048921797e-43,4.73945164006209,0.56,0.019,5.58937451773012e-39,"TLCD1"
1.21271234148844e-54,4.73549260139006,0.64,0.009,2.51043581811523e-50,"AP1M2"
7.17321606931457e-23,4.713918180957,0.355,0.014,1.48492745850881e-18,"ZWINT"
1.81945523843769e-46,4.7138227522419,0.589,0.024,3.76645428908986e-42,"RPL39L"
1.84194464777227e-16,4.68591470308379,0.253,0,3.81300961535337e-12,"SPESP1"
1.00125943522164e-24,4.61447524251569,0.385,0.019,2.07270715685231e-20,"CCNB1"
1.93156806485469e-120,4.61132546393997,1,0.171,3.99853905105569e-116,"SPP1"
5.5740699255825e-23,4.6086191959488,0.357,0.014,1.15388821529483e-18,"CENPH"
2.86035968870806e-23,4.50192333445039,0.353,0.009,5.92123059159455e-19,"DHRS13"
