"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","233/2200","492/18986",0.473577235772358,4.08697154471545,25.1155551822127,7.35376979339607e-90,4.06369318783067e-86,3.5592245800037e-86,"BYSL/BOP1/RRS1/UTP18/GLUL/NPM3/MRPS7/FTSJ3/DCAF13/EXOSC4/EIF3H/RRP9/PUF60/NOP16/NOL11/PPAN/NPM1/RPP40/NHP2/RUVBL1/MTERF3/NOB1/EIF3D/ERAL1/EMG1/MRTO4/GEMIN6/LAS1L/DDX49/AATF/PNO1/EIF3E/SIRT7/NOP56/BRIX1/ZNHIT3/RPL7/RBFA/RPL27/TAF9/LSM4/NOP2/EXOSC5/PES1/TFB1M/DDX52/RPL38/RRP1/PAK1IP1/NSUN5/RAN/PA2G4/RPUSD2/HEATR1/EXOSC3/REXO4/UTP14A/NOP10/COIL/UTP6/WDR12/MRPS2/SNRPB/PRPF6/UTP15/RIOK1/SDAD1/NOC2L/RBMX2/SNRPC/DKC1/DDX54/POP5/PRKDC/WDR55/RPS14/RPSA/RPUSD1/RPS17/RPL26L1/RPS23/PRPF31/EIF6/MPV17L2/RPP38/RPUSD4/UTP4/EBNA1BP2/YBEY/EXOSC7/PRPF19/WDR77/NOC4L/EXOSC2/DHX30/AAR2/SNRPD1/DIMT1/LSM2/GAR1/RIOK2/AK6/NOLC1/DDX28/NSA2/DDX46/LTV1/SRFBP1/NOL7/EXOSC9/GRWD1/DDX56/RRP36/RPL35A/IMP3/PHF5A/RPL14/TXNL4A/SF3B4/ERI3/LYAR/EIF2D/RPF2/WDR46/SLU7/SURF6/SNRPD2/XRN2/SNRPB2/USP39/CDKN2A/NOA1/PDCD11/SNRPD3/GTPBP4/PRMT5/TGS1/ZNF622/EIF2S3/EXOSC8/GTF3A/RPL5/SNRPA1/LUC7L3/GNL2/MPHOSPH10/RRP7A/RPS3A/WDR3/DDX42/RUVBL2/EIF3J/TRMT112/MCAT/EIF3I/SRSF1/EIF2S2/UTP3/DDX1/UTP23/NUDT16/RRP8/POP4/SNRPE/HSP90AB1/RSL24D1/METTL5/USP4/EXOSC1/EIF2A/DDX18/EIF3F/RPS4X/RPS21/SNU13/EIF3K/EIF3M/EXOSC10/GEMIN7/SF3B2/IMP4/SF3A3/RPL7L1/RPS5/TMA16/ZNF593/CHD7/EIF3L/MALSU1/RPS8/PRPF3/ESF1/EIF3G/DENR/EIF4A3/CRNKL1/RRP15/FBL/SRPK1/RPS6/YTHDF2/SF3B5/AGO2/PWP1/SNRPG/RPF1/TSSC4/WDR36/PIH1D1/FRG1/PIN4/USP16/NIP7/WDR43/RPL7A/SART1/CD2BP2/RRP1B/RPS7/XRCC5/RPL24/MPHOSPH6/WDR74/EIF3A/HTATSF1/MCTS1/DDX21/ISY1/NOL8/NOP58/RPS16/SF3B3/LSG1",233
"GO:0042254","ribosome biogenesis","167/2200","317/18986",0.526813880126183,4.54640378548896,23.0515597639273,4.44213116114214e-73,1.22736083982357e-69,1.0749957409964e-69,"BYSL/BOP1/RRS1/UTP18/GLUL/NPM3/MRPS7/FTSJ3/DCAF13/EXOSC4/RRP9/NOP16/NOL11/PPAN/NPM1/RPP40/NHP2/MTERF3/NOB1/ERAL1/EMG1/MRTO4/LAS1L/DDX49/AATF/PNO1/SIRT7/NOP56/BRIX1/ZNHIT3/RPL7/RBFA/RPL27/NOP2/EXOSC5/PES1/TFB1M/DDX52/RPL38/RRP1/PAK1IP1/NSUN5/RAN/PA2G4/RPUSD2/HEATR1/EXOSC3/REXO4/UTP14A/NOP10/UTP6/WDR12/MRPS2/UTP15/RIOK1/SDAD1/NOC2L/DKC1/DDX54/POP5/PRKDC/WDR55/RPS14/RPSA/RPUSD1/RPS17/RPL26L1/RPS23/EIF6/MPV17L2/RPP38/RPUSD4/UTP4/EBNA1BP2/YBEY/EXOSC7/NOC4L/EXOSC2/DHX30/DIMT1/GAR1/RIOK2/AK6/NOLC1/DDX28/NSA2/LTV1/SRFBP1/NOL7/EXOSC9/GRWD1/DDX56/RRP36/RPL35A/IMP3/RPL14/ERI3/LYAR/RPF2/WDR46/SURF6/XRN2/CDKN2A/NOA1/PDCD11/GTPBP4/ZNF622/EXOSC8/GTF3A/RPL5/GNL2/MPHOSPH10/RRP7A/RPS3A/WDR3/TRMT112/MCAT/UTP3/UTP23/NUDT16/RRP8/POP4/RSL24D1/METTL5/EXOSC1/EIF2A/DDX18/RPS4X/RPS21/SNU13/EXOSC10/IMP4/RPL7L1/RPS5/TMA16/ZNF593/CHD7/MALSU1/RPS8/ESF1/EIF4A3/RRP15/FBL/RPS6/YTHDF2/PWP1/RPF1/WDR36/PIH1D1/FRG1/PIN4/USP16/NIP7/WDR43/RPL7A/SART1/RRP1B/RPS7/XRCC5/RPL24/MPHOSPH6/WDR74/DDX21/NOL8/NOP58/RPS16/LSG1",167
"GO:0006364","rRNA processing","127/2200","225/18986",0.564444444444444,4.87115555555556,21.1469102511331,2.630307371819e-60,4.8450261788906e-57,4.24356255986799e-57,"BYSL/BOP1/RRS1/UTP18/NPM3/FTSJ3/DCAF13/EXOSC4/RRP9/NOL11/PPAN/RPP40/NHP2/NOB1/EMG1/MRTO4/LAS1L/DDX49/SIRT7/NOP56/BRIX1/ZNHIT3/RPL7/RBFA/RPL27/NOP2/EXOSC5/PES1/TFB1M/DDX52/RRP1/PAK1IP1/NSUN5/PA2G4/RPUSD2/HEATR1/EXOSC3/REXO4/UTP14A/NOP10/UTP6/WDR12/UTP15/RIOK1/DKC1/DDX54/POP5/PRKDC/WDR55/RPS14/RPUSD1/RPS17/EIF6/RPP38/RPUSD4/UTP4/EBNA1BP2/YBEY/EXOSC7/NOC4L/EXOSC2/DIMT1/GAR1/RIOK2/AK6/NOLC1/NSA2/SRFBP1/NOL7/EXOSC9/DDX56/RRP36/RPL35A/IMP3/RPL14/ERI3/LYAR/RPF2/WDR46/XRN2/CDKN2A/PDCD11/GTPBP4/EXOSC8/RPL5/MPHOSPH10/RRP7A/WDR3/TRMT112/UTP3/UTP23/NUDT16/RRP8/POP4/METTL5/EXOSC1/DDX18/RPS21/SNU13/EXOSC10/IMP4/RPL7L1/CHD7/RPS8/ESF1/EIF4A3/RRP15/FBL/RPS6/YTHDF2/PWP1/RPF1/WDR36/PIH1D1/FRG1/PIN4/WDR43/RPL7A/SART1/RRP1B/RPS7/MPHOSPH6/WDR74/DDX21/NOL8/NOP58/RPS16",127
"GO:0016072","rRNA metabolic process","139/2200","268/18986",0.51865671641791,4.47600746268657,20.7472914349343,1.00869649185726e-59,1.3935142035008e-56,1.22052275514728e-56,"MAPT/BYSL/BOP1/RRS1/UTP18/NPM3/FTSJ3/DCAF13/EXOSC4/RRP9/NOL11/PPAN/RPP40/NHP2/NOB1/EMG1/MRTO4/LAS1L/DDX49/SIRT7/NOP56/BRIX1/ZNHIT3/RPL7/MYC/RBFA/RPL27/NOP2/EXOSC5/PES1/TFB1M/DDX52/RRP1/PAK1IP1/NSUN5/PA2G4/TCOF1/RPUSD2/HEATR1/EXOSC3/REXO4/UTP14A/NOP10/UTP6/WDR12/UTP15/RIOK1/DKC1/DDX54/POP5/PRKDC/WDR55/RPS14/RPUSD1/RPS17/EIF6/RPP38/RPUSD4/UTP4/EBNA1BP2/YBEY/EXOSC7/NOC4L/EXOSC2/DIMT1/NIFK/GAR1/RIOK2/AK6/NOLC1/NSA2/SRFBP1/NOL7/EXOSC9/DDX56/RRP36/RPL35A/IMP3/RPL14/ERI3/LYAR/RPF2/WDR46/XRN2/CDKN2A/PDCD11/GTPBP4/EXOSC8/GTF3A/RPL5/MPHOSPH10/RRP7A/SMARCA4/WDR3/SMARCB1/TRMT112/UTP3/UTP23/NUDT16/RRP8/POP4/METTL5/EXOSC1/GTF3C5/POLR1D/DDX18/RPS21/SNU13/EXOSC10/IMP4/RPL7L1/CHD7/RPS8/ESF1/EIF4A3/RRP15/FBL/POLR2E/RPS6/YTHDF2/NCL/PWP1/RPF1/WDR36/PIH1D1/FRG1/PIN4/WDR43/RPL7A/SART1/RRP1B/RPS7/MPHOSPH6/WDR74/PELO/DDX21/NOL8/NOP58/RPS16",139
"GO:0032543","mitochondrial translation","78/2200","131/18986",0.595419847328244,5.13847328244275,17.2070161769148,9.94369851952954e-40,1.0989775603784e-36,9.6255001669046e-37,"TACO1/MRPS23/MRPS7/MRPL45/MRPL12/MRPL10/GATB/COA3/MRPL27/MRPL3/YARS2/MRPL46/MRPL13/MRPS11/MRPS27/RPUSD3/MRPS18C/MRPS2/MRPL24/MRPL36/MRPS30/MRPL21/MRPL34/MRPL38/MRPL15/MPV17L2/RPUSD4/CDK5RAP1/RMND1/MRPL40/MRPL9/MRPS18B/MRPL17/MRPL11/MRPS12/MRPL22/MRPS25/MRPS33/QRSL1/MRPS17/MRPS22/MRPL51/MRPS15/MRPS16/UQCC2/MRPS26/MRPS21/MTIF2/MRPL37/MRPL4/MRPS9/WARS2/DAP3/MRPS34/MRPL47/MRPS28/MRPL33/MALSU1/MRPL20/MRPL49/TARS2/MRPS31/MRPL57/TUFM/TRUB2/GFM2/MRPS5/CHCHD1/MRPS35/MRPL30/AURKAIP1/MRPL48/MRPL43/MRPL39/MRPS18A/MRPL55/MRPS10/MRPL16",78
"GO:0140053","mitochondrial gene expression","88/2200","169/18986",0.520710059171598,4.49372781065089,16.515824470468,2.66825231574011e-38,2.45746038279664e-35,2.15239020136369e-35,"TACO1/MRPS23/MRPS7/MRPL45/MRPL12/TEFM/MRPL10/GATB/MTERF3/COA3/MRPL27/SLC25A33/MRPL3/YARS2/MRPL46/TFB1M/MRPL13/MRPS11/MRPS27/RPUSD3/MRPS18C/MRPS2/MRPL24/MRPL36/MRPS30/MRPL21/MRPL34/MRPL38/MRPL15/MPV17L2/RPUSD4/PUS1/CDK5RAP1/RMND1/MRPL40/MRPL9/MRPS18B/MRPL17/MRPL11/MRPS12/MRPL22/MRPS25/MRPS33/QRSL1/MRPS17/MRPS22/MRPL51/MRPS15/MRPS16/UQCC2/TBRG4/MRPS26/KANSL1/MRPS21/MTIF2/MRPL37/MRPL4/MRPS9/WARS2/DAP3/MRPS34/MRPL47/MRPS28/FASTK/MRPL33/MALSU1/HSD17B10/MRPL20/MRPL49/TARS2/MRPS31/MRPL57/TUFM/TRUB2/GFM2/MRPS5/CHCHD1/MRPS35/MRPL30/AURKAIP1/MRPL48/MRPL43/MRPL39/MRPS18A/MRPL55/MRPS10/MRPL16/TRNT1",88
"GO:0002181","cytoplasmic translation","84/2200","165/18986",0.509090909090909,4.39345454545454,15.8491396765876,1.19806862407399e-35,9.45789602376121e-33,8.28378877216871e-33,"EIF3H/EIF3D/RPL19/MIF4GD/EIF3E/RPL7/RPL27/RPL23/RPL23A/EIF2B1/RPL8/RPL38/UNK/RPL30/DRG1/EEF1D/EIF2B3/RPS14/RPSA/RPS17/RPL26L1/RPS23/RPL4/RPL29/RPL18A/PABPC1/YBX1/RPL15/RPS2/UBA52/RPL35A/RPL14/EIF2D/RPL22L1/EIF2S3/RPL5/RPS3A/RPLP1/EIF3J/RPL36A/EIF3I/EIF2S2/RPS18/RPL10A/EIF3F/RPS4X/RPS21/RPL22/EIF3K/EIF3M/RPS5/EIF3L/RPS8/RPL32/EIF3G/EIF2B5/NCBP2/RPL3/DENR/DRG2/RPS6/RPLP0/YTHDF2/RPS20/RPL6/RPL39/ZC3H15/IMPACT/EIF2B4/RPS3/HNRNPD/RPL7A/RPL34/EIF2B2/RPS7/RPL24/EIF3A/RPL12/RPL37A/RPL37/MCTS1/EIF4A2/RPS10/RPS16",84
"GO:0008380","RNA splicing","146/2200","484/18986",0.301652892561983,2.60326446280992,12.9348542838812,6.00563554819812e-29,4.14839275491785e-26,3.63340950665986e-26,"NSRP1/ZNF830/TSEN54/EFTUD2/PUF60/CWC27/HABP4/GEMIN6/RBM15B/SUPT6H/KAT2A/TAF9/DDX41/FAM50A/LSM4/EIF1/ZPR1/RTCB/PRPF4/DDX39A/TAF15/THOC5/PPIL1/ENY2/TAF12/LSM10/COIL/IK/DHX8/SNRPB/ZCRB1/PRPF6/MFAP1/GPKOW/THOC3/RBMX2/SNRPC/PPIE/PLRG1/SNRPN/PRPF31/SNRPA/RPUSD4/CWC25/PUS1/PRPF19/WDR77/PABPC1/PPIH/AAR2/SUGP2/SNRPD1/ZMAT2/LSM2/ZMAT5/YBX1/DDX46/RBM42/TFIP11/USP22/PHF5A/TXNL4A/SF3B4/PRMT1/SLU7/SNRPD2/SNRPB2/USP39/SNRPD3/PRMT5/TGS1/RALY/DCPS/SNRPA1/LUC7L3/MPHOSPH10/CASC3/AKAP8L/DDX42/SYF2/HNRNPA3/SRSF1/DDX1/CDK12/SNRPE/PCBP4/FAM98A/USP4/TADA3/LSM3/SNRNP40/SLC39A5/CTNNBL1/SNU13/FASTK/EXOSC10/RBM28/GEMIN7/SF3B2/SF3A3/ZBTB8OS/PRPF3/RBM22/NCBP2/HNRNPM/JMJD6/LARP7/MAGOH/EIF4A3/CRNKL1/THOC7/SRPK1/SF3B5/NCL/PPIL3/TCERG1/SNRPG/NONO/SCNM1/TSSC4/RNF113A/FRG1/SNW1/PRPF38A/LSM8/THOC6/PRKRIP1/SART1/CD2BP2/LSM5/RRP1B/SGF29/C2orf49/HTATSF1/SRRM1/ISY1/SUGP1/TAF6L/ZRANB2/PQBP1/USB1/RBMX/CWC15/SF3B3/CDK11B/KHDRBS1",146
"GO:0071826","protein-RNA complex organization","93/2200","234/18986",0.397435897435897,3.42987179487179,13.539746186139,1.06612840536357e-28,6.54602840893235e-26,5.73340164662189e-26,"BOP1/RRS1/MRPS7/EIF3H/PUF60/RUVBL1/EIF3D/ERAL1/MRTO4/GEMIN6/EIF3E/BRIX1/ZNHIT3/TAF9/ZFAND1/LSM4/NOP2/RPL38/COIL/SNRPB/PRPF6/RBMX2/SNRPC/PRKDC/RPS14/RPSA/PRPF31/EIF6/PRPF19/WDR77/DHX30/AAR2/SNRPD1/LSM2/DDX28/DDX46/TFIP11/PHF5A/TXNL4A/SF3B4/EIF2D/SLU7/SNRPD2/SNRPB2/USP39/SNRPD3/PRMT5/TGS1/EIF2S3/RPL5/SNRPA1/LUC7L3/RRP7A/DDX42/FAF2/RUVBL2/EIF3J/MCAT/EIF3I/SRSF1/EIF2S2/DDX1/SNRPE/HSP90AB1/USP4/EIF3F/SNU13/EIF3K/EIF3M/GEMIN7/SF3B2/SF3A3/RPS5/EIF3L/PRPF3/EIF3G/DENR/CRNKL1/SRPK1/SF3B5/AGO2/SNRPG/TSSC4/PIH1D1/SART1/CD2BP2/XRCC5/RPL24/EIF3A/HTATSF1/MCTS1/ISY1/SF3B3",93
"GO:0022618","protein-RNA complex assembly","90/2200","225/18986",0.4,3.452,13.3945079683932,4.6697462489468e-28,2.580501777168e-25,2.26015718449025e-25,"BOP1/RRS1/MRPS7/EIF3H/PUF60/RUVBL1/EIF3D/ERAL1/MRTO4/GEMIN6/EIF3E/BRIX1/ZNHIT3/TAF9/LSM4/NOP2/RPL38/COIL/SNRPB/PRPF6/RBMX2/SNRPC/PRKDC/RPS14/RPSA/PRPF31/EIF6/PRPF19/WDR77/DHX30/AAR2/SNRPD1/LSM2/DDX28/DDX46/PHF5A/TXNL4A/SF3B4/EIF2D/SLU7/SNRPD2/SNRPB2/USP39/SNRPD3/PRMT5/TGS1/EIF2S3/RPL5/SNRPA1/LUC7L3/RRP7A/DDX42/RUVBL2/EIF3J/MCAT/EIF3I/SRSF1/EIF2S2/DDX1/SNRPE/HSP90AB1/USP4/EIF3F/SNU13/EIF3K/EIF3M/GEMIN7/SF3B2/SF3A3/RPS5/EIF3L/PRPF3/EIF3G/DENR/CRNKL1/SRPK1/SF3B5/AGO2/SNRPG/TSSC4/PIH1D1/SART1/CD2BP2/XRCC5/RPL24/EIF3A/HTATSF1/MCTS1/ISY1/SF3B3",90
